
-100,06/02/2022 13:52:49
-100,06/02/2022 13:52:53
-100,06/02/2022 13:52:57
-100,06/02/2022 13:53:01
-100,06/02/2022 13:53:05
-100,06/02/2022 13:53:09
-100,06/02/2022 13:53:13
-100,06/02/2022 13:53:17
-100,06/02/2022 13:53:21
-100,06/02/2022 13:53:25
-100,06/02/2022 13:53:29
-100,06/02/2022 13:53:33
-100,06/02/2022 13:53:37
-100,06/02/2022 13:53:41
-100,06/02/2022 13:53:45
-100,06/02/2022 13:53:49
-100,06/02/2022 13:53:53
-100,06/02/2022 13:53:57
-69,06/02/2022 13:54:01
-72,06/02/2022 13:54:05
-64,06/02/2022 13:54:09
-79,06/02/2022 13:54:13
-64,06/02/2022 13:54:17
-63,06/02/2022 13:54:22
-63,06/02/2022 13:54:26
-59,06/02/2022 13:54:30
-59,06/02/2022 13:54:34
-59,06/02/2022 13:54:38
-59,06/02/2022 13:54:42
-70,06/02/2022 13:54:47
-67,06/02/2022 13:54:51
-69,06/02/2022 13:54:55
-61,06/02/2022 13:54:59
-65,06/02/2022 13:55:03
-71,06/02/2022 13:55:07
-73,06/02/2022 13:55:11
-64,06/02/2022 13:55:16
-75,06/02/2022 13:55:20
-72,06/02/2022 13:55:24
-71,06/02/2022 13:55:28
-71,06/02/2022 13:55:32
-72,06/02/2022 13:55:36
-71,06/02/2022 13:55:41
-64,06/02/2022 13:55:45
-64,06/02/2022 13:55:49
-64,06/02/2022 13:55:53
-64,06/02/2022 13:55:57
-65,06/02/2022 13:56:01
-66,06/02/2022 13:56:05
-66,06/02/2022 13:56:10
-66,06/02/2022 13:56:14
-70,06/02/2022 13:56:18
-65,06/02/2022 13:56:22
-68,06/02/2022 13:56:26
-64,06/02/2022 13:56:30
-64,06/02/2022 13:56:34
-64,06/02/2022 13:56:39
-64,06/02/2022 13:56:43
-67,06/02/2022 13:56:47
-75,06/02/2022 13:56:51
-65,06/02/2022 13:56:55
-80,06/02/2022 13:56:59
-66,06/02/2022 13:57:04
-77,06/02/2022 13:57:08
-86,06/02/2022 13:57:12
-66,06/02/2022 13:57:16
-82,06/02/2022 13:57:20
-66,06/02/2022 13:57:24
-79,06/02/2022 13:57:28
-77,06/02/2022 13:57:33
-75,06/02/2022 13:57:37
-66,06/02/2022 13:57:41
-77,06/02/2022 13:57:45
-64,06/02/2022 13:57:49
-69,06/02/2022 13:57:53
-65,06/02/2022 13:57:58
-61,06/02/2022 13:58:02
-68,06/02/2022 13:58:06
-68,06/02/2022 13:58:10
-70,06/02/2022 13:58:14
-66,06/02/2022 13:58:18
-68,06/02/2022 13:58:22
-62,06/02/2022 13:58:27
-66,06/02/2022 13:58:31
-64,06/02/2022 13:58:35
-74,06/02/2022 13:58:39
-73,06/02/2022 13:58:43
-100,06/02/2022 13:58:47
-77,06/02/2022 13:58:51
-76,06/02/2022 13:58:56
-79,06/02/2022 13:59:00
-76,06/02/2022 13:59:04
-75,06/02/2022 13:59:08
-81,06/02/2022 13:59:12
-80,06/02/2022 13:59:16
-74,06/02/2022 13:59:20
-79,06/02/2022 13:59:25
-75,06/02/2022 13:59:29
-77,06/02/2022 13:59:33
-100,06/02/2022 13:59:37
-83,06/02/2022 13:59:41
-100,06/02/2022 13:59:45
-85,06/02/2022 13:59:49
-87,06/02/2022 13:59:53
-100,06/02/2022 13:59:58
-81,06/02/2022 14:00:02
-88,06/02/2022 14:00:06
-84,06/02/2022 14:00:10
-83,06/02/2022 14:00:14
-81,06/02/2022 14:00:18
-100,06/02/2022 14:00:22
-100,06/02/2022 14:00:26
-100,06/02/2022 14:00:30
-100,06/02/2022 14:00:34
-100,06/02/2022 14:00:38
-100,06/02/2022 14:00:42
-93,06/02/2022 14:00:46
-89,06/02/2022 14:00:51
-100,06/02/2022 14:00:55
-100,06/02/2022 14:00:59
-100,06/02/2022 14:01:03
-100,06/02/2022 14:01:07
-100,06/02/2022 14:01:11
-100,06/02/2022 14:01:15
-100,06/02/2022 14:01:19
-100,06/02/2022 14:01:23
-90,06/02/2022 14:01:27
