
[-55, -73, -89, -86, -100],09/03/2022 16:16:10
[-55, -75, -100, -84, -100],09/03/2022 16:16:14
[-54, -79, -85, -90, -100],09/03/2022 16:16:18
[-54, -78, -87, -86, -100],09/03/2022 16:16:22
[-55, -75, -100, -86, -100],09/03/2022 16:16:26
[-59, -78, -100, -88, -100],09/03/2022 16:16:33
[-59, -75, -100, -87, -100],09/03/2022 16:16:38
[-58, -81, -100, -100, -100],09/03/2022 16:16:41
[-57, -80, -85, -88, -100],09/03/2022 16:16:45
[-57, -86, -100, -86, -100],09/03/2022 16:16:50
[-57, -84, -85, -89, -100],09/03/2022 16:16:54
[-58, -89, -89, -86, -100],09/03/2022 16:16:58
[-57, -75, -100, -86, -100],09/03/2022 16:17:02
[-57, -76, -87, -87, -100],09/03/2022 16:17:06
[-54, -73, -100, -85, -100],09/03/2022 16:17:11
[-54, -74, -86, -86, -100],09/03/2022 16:17:15
[-55, -75, -85, -85, -100],09/03/2022 16:17:19
[-55, -76, -100, -87, -100],09/03/2022 16:17:23
[-59, -77, -89, -87, -100],09/03/2022 16:17:27
[-59, -75, -85, -87, -100],09/03/2022 16:17:31
[-59, -76, -100, -87, -100],09/03/2022 16:17:36
[-60, -74, -86, -88, -100],09/03/2022 16:17:40
[-57, -73, -100, -86, -100],09/03/2022 16:17:44
[-57, -82, -100, -88, -100],09/03/2022 16:17:48
[-57, -76, -87, -85, -100],09/03/2022 16:17:52
[-57, -78, -85, -85, -100],09/03/2022 16:17:56
[-57, -78, -100, -87, -100],09/03/2022 16:18:01
[-53, -76, -85, -87, -100],09/03/2022 16:18:05
[-55, -77, -85, -100, -100],09/03/2022 16:18:09
[-55, -83, -88, -86, -100],09/03/2022 16:18:13
[-54, -84, -90, -87, -100],09/03/2022 16:18:17
[-55, -81, -87, -86, -100],09/03/2022 16:18:21
[-58, -74, -100, -90, -100],09/03/2022 16:18:26
[-57, -73, -100, -86, -100],09/03/2022 16:18:30
[-60, -75, -100, -89, -100],09/03/2022 16:18:34
[-57, -72, -86, -85, -100],09/03/2022 16:18:38
[-54, -74, -100, -88, -100],09/03/2022 16:18:42
[-57, -78, -91, -86, -100],09/03/2022 16:18:47
[-57, -79, -88, -86, -100],09/03/2022 16:18:51
[-59, -76, -87, -86, -100],09/03/2022 16:18:55
[-57, -74, -100, -91, -100],09/03/2022 16:18:59
[-55, -83, -87, -85, -100],09/03/2022 16:19:03
[-59, -85, -100, -86, -100],09/03/2022 16:19:07
[-55, -83, -100, -85, -100],09/03/2022 16:19:12
[-55, -85, -87, -87, -100],09/03/2022 16:19:16
[-55, -76, -100, -86, -100],09/03/2022 16:19:20
[-57, -75, -87, -88, -100],09/03/2022 16:19:24
[-57, -74, -88, -86, -100],09/03/2022 16:19:28
