
[-61, -49, -100, -85, -92],17/02/2022 19:40:35
[-59, -52, -86, -84, -90],17/02/2022 19:40:40
[-61, -48, -100, -85, -100],17/02/2022 19:40:44
[-70, -52, -82, -84, -100],17/02/2022 19:40:48
[-58, -53, -82, -79, -100],17/02/2022 19:40:52
[-71, -49, -100, -83, -100],17/02/2022 19:40:56
[-61, -50, -90, -78, -100],17/02/2022 19:41:00
[-58, -49, -100, -83, -91],17/02/2022 19:41:05
[-58, -50, -100, -85, -92],17/02/2022 19:41:09
[-70, -50, -100, -84, -100],17/02/2022 19:41:13
[-69, -48, -81, -100, -100],17/02/2022 19:41:17
[-61, -48, -100, -86, -90],17/02/2022 19:41:21
[-71, -53, -87, -84, -100],17/02/2022 19:41:25
[-70, -48, -88, -80, -100],17/02/2022 19:41:29
[-61, -49, -90, -80, -90],17/02/2022 19:41:34
[-70, -53, -86, -80, -92],17/02/2022 19:41:38
[-61, -53, -91, -79, -90],17/02/2022 19:41:42
[-71, -52, -81, -79, -100],17/02/2022 19:41:46
[-71, -53, -82, -84, -100],17/02/2022 19:41:50
[-59, -50, -85, -84, -100],17/02/2022 19:41:55
[-100, -50, -100, -83, -90],17/02/2022 19:41:59
[-61, -50, -83, -83, -91],17/02/2022 19:42:03
[-59, -49, -100, -86, -90],17/02/2022 19:42:07
[-61, -50, -89, -79, -91],17/02/2022 19:42:11
[-71, -53, -100, -84, -100],17/02/2022 19:42:15
[-71, -48, -88, -82, -100],17/02/2022 19:42:20
[-70, -52, -100, -100, -89],17/02/2022 19:42:24
[-70, -49, -82, -81, -91],17/02/2022 19:42:28
[-58, -48, -77, -82, -89],17/02/2022 19:42:32
[-58, -50, -100, -85, -89],17/02/2022 19:42:36
[-71, -50, -78, -83, -90],17/02/2022 19:42:40
[-59, -50, -84, -82, -100],17/02/2022 19:42:45
[-58, -50, -100, -80, -100],17/02/2022 19:42:49
[-58, -52, -100, -83, -100],17/02/2022 19:42:53
[-58, -48, -85, -81, -89],17/02/2022 19:42:57
[-62, -48, -79, -83, -100],17/02/2022 19:43:01
[-71, -49, -100, -83, -89],17/02/2022 19:43:05
[-58, -48, -82, -80, -89],17/02/2022 19:43:09
[-70, -50, -78, -81, -100],17/02/2022 19:43:14
[-58, -53, -91, -79, -88],17/02/2022 19:43:18
[-100, -53, -78, -82, -100],17/02/2022 19:43:22
[-71, -53, -94, -81, -89],17/02/2022 19:43:26
[-61, -52, -100, -81, -89],17/02/2022 19:43:30
[-62, -48, -79, -82, -91],17/02/2022 19:43:34
[-59, -48, -76, -85, -100],17/02/2022 19:43:39
[-58, -48, -100, -82, -90],17/02/2022 19:43:43
[-58, -48, -100, -79, -100],17/02/2022 19:43:47
[-61, -53, -78, -81, -100],17/02/2022 19:43:51
[-75, -50, -83, -80, -100],17/02/2022 19:43:55
[-64, -50, -77, -79, -100],17/02/2022 19:43:59
[-100, -54, -82, -86, -100],17/02/2022 19:44:04
[-64, -50, -80, -81, -94],17/02/2022 19:44:08
[-70, -49, -100, -79, -100],17/02/2022 19:44:12
[-62, -50, -82, -79, -100],17/02/2022 19:44:16
[-69, -49, -79, -86, -100],17/02/2022 19:44:20
[-64, -50, -80, -79, -100],17/02/2022 19:44:25
[-62, -49, -79, -86, -100],17/02/2022 19:44:29
[-64, -53, -84, -79, -100],17/02/2022 19:44:33
[-64, -53, -83, -79, -100],17/02/2022 19:44:37
[-69, -53, -84, -79, -100],17/02/2022 19:44:41
[-71, -52, -84, -86, -100],17/02/2022 19:44:45
[-61, -51, -87, -85, -91],17/02/2022 19:44:50
[-78, -50, -79, -78, -91],17/02/2022 19:44:54
[-76, -50, -77, -89, -91],17/02/2022 19:44:58
[-61, -48, -77, -86, -93],17/02/2022 19:45:02
[-75, -50, -100, -86, -100],17/02/2022 19:45:06
[-63, -48, -77, -79, -100],17/02/2022 19:45:10
[-61, -49, -79, -79, -97],17/02/2022 19:45:14
[-76, -49, -100, -80, -100],17/02/2022 19:45:19
[-61, -49, -78, -88, -100],17/02/2022 19:45:23
[-63, -49, -76, -80, -100],17/02/2022 19:45:27
[-64, -53, -100, -79, -93],17/02/2022 19:45:31
[-76, -53, -77, -88, -100],17/02/2022 19:45:35
[-63, -53, -100, -80, -95],17/02/2022 19:45:40
[-64, -50, -79, -78, -100],17/02/2022 19:45:44
[-64, -49, -100, -79, -100],17/02/2022 19:45:48
[-63, -50, -84, -78, -93],17/02/2022 19:45:52
[-63, -50, -100, -78, -100],17/02/2022 19:45:56
[-63, -51, -77, -78, -100],17/02/2022 19:46:00
[-61, -49, -78, -86, -100],17/02/2022 19:46:04
[-76, -49, -87, -85, -92],17/02/2022 19:46:09
[-61, -54, -79, -88, -100],17/02/2022 19:46:13
[-61, -53, -79, -89, -92],17/02/2022 19:46:17
[-63, -53, -100, -78, -100],17/02/2022 19:46:21
[-63, -53, -79, -79, -100],17/02/2022 19:46:25
[-61, -51, -78, -78, -92],17/02/2022 19:46:29
[-74, -50, -86, -79, -93],17/02/2022 19:46:34
[-64, -50, -85, -78, -92],17/02/2022 19:46:38
[-61, -49, -100, -79, -92],17/02/2022 19:46:42
[-62, -53, -82, -79, -90],17/02/2022 19:46:46
[-77, -53, -80, -86, -90],17/02/2022 19:46:50
[-76, -53, -85, -78, -100],17/02/2022 19:46:54
[-76, -53, -100, -80, -90],17/02/2022 19:46:58
[-62, -54, -80, -78, -100],17/02/2022 19:47:03
[-60, -51, -79, -79, -100],17/02/2022 19:47:07
[-63, -50, -80, -86, -100],17/02/2022 19:47:11
[-62, -50, -100, -80, -91],17/02/2022 19:47:15
[-75, -51, -78, -79, -89],17/02/2022 19:47:19
[-61, -51, -79, -80, -100],17/02/2022 19:47:23
[-74, -54, -100, -87, -100],17/02/2022 19:47:28
[-63, -49, -80, -79, -91],17/02/2022 19:47:32
[-63, -53, -100, -78, -90],17/02/2022 19:47:36
[-61, -48, -100, -87, -100],17/02/2022 19:47:40
[-61, -53, -100, -79, -100],17/02/2022 19:47:44
[-62, -50, -82, -87, -90],17/02/2022 19:47:49
[-62, -54, -85, -89, -100],17/02/2022 19:47:53
